Date,Course,Miles,Time,Climb FT,Effort,Notes,digitime,Min/mile,Pace Delta,Delta,WAVA,Median,Pts (All) 100 is best,# All,All,Pts (Male),Pts (Cat),# Male,Male,Cat,# Cat,Cat,# Kingstone,Kingstone
20-Jul-19,Conyngham Hall Parkrun,3.106855,0:51:36,235,8,Pacing Aimee Gledhill,51.6,16.6,7.05 ,21.90 ,30.29%,29.70,1,175,176,,,,,,,,,
03-Aug-19,Harrogate parkrun,3.106855,0:45:44,82,10,Pacing Aimee Gledhill,45.7,14.7,5.64 ,17.53 ,34.17%,28.20,2,416,424,,,,,,,,,
07-Aug-19,Spencers Dash,3.750000,0:30:22,349,64,,30.4,8.1,-0.25 ,-0.93 ,62.12%,31.30,54,86,186,,,,,,,,,
20-Aug-19,Highwood Hobble,3.106855,0:26:23,381,58,,26.4,8.5,-1.58 ,-4.90 ,59.24%,31.30,76,49,202,,,,,,,,,
28-Aug-19,Higham Hurtle,5.010000,0:44:45,436,72,,44.8,8.9,-0.01 ,-0.05 ,57.60%,44.80,50,55,111,,,,,,,,,
04-Sep-19,Spencers Dash,3.750000,0:29:54,387,58,,29.9,8.0,-0.45 ,-1.70 ,63.09%,31.60,58,104,245,,,,,,,,,
07-Sep-19,Conyngham Hall Parkrun,3.106855,0:29:28,177,22,Pacing Taylor,29.5,9.5,0.16 ,0.50 ,53.04%,29.00,42,104,179,,,,,,,,,
,,,,,,,,,,0.00 ,,,,,,,,,,,,,,
,,,,,,,,,,0.00 ,,,,,,,,,,,,,,
,,,,,,,,,,0.00 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
